rank,name,age,team,league,position,fc_pot,fc_ovr,speed,sources
1,Lamine Yamal Nasraoui Ebana,17,FC Barcelona,La Liga,"RM, RW",95.0,89.0,85.0,fc26_filter|megabot_search
2,Endrick Felipe Moreira de Sousa,18,Real Madrid,La Liga,"ST, RW",91.0,77.0,87.0,fc26_filter
3,Estêvão Willian Almeida,18,Chelsea,Premier League,"RM, CAM, RW",89.0,78.0,90.0,fc26_filter
4,Jorrel Hato,19,Chelsea,Premier League,"LB, CB",89.0,78.0,85.0,megabot_search
5,Rodrigo Mora de Carvalho,18,FC Porto,Primeira Liga,"CAM, LW, CM, ST",89.0,76.0,77.0,fc26_filter
6,Jorthy Mokio,17,Ajax,Eredivisie,"CDM, CM, LB, CB",89.0,70.0,70.0,fc26_filter|megabot_search|nxgn_2026
7,Pau Cubarsí Paredes,18,FC Barcelona,La Liga,CB,88.0,82.0,70.0,fc26_filter|megabot_search
8,Franco Mastantuono,17,Real Madrid,La Liga,"CAM, RW, ST",88.0,77.0,74.0,fc26_filter|megabot_search|nxgn_2026
9,Geovany Tcherno Quenda,18,Sporting CP,Primeira Liga,"RM, LM, LW, RW",88.0,76.0,85.0,fantrax_eligible|fc26_filter|nxgn_2026
10,Givairo Read,19,Feyenoord,Eredivisie,"RB, RM",88.0,75.0,81.0,megabot_search
11,Rio Bass Ray Ngumoha Adigun,16,Liverpool,Premier League,"LM, LW",88.0,68.0,90.0,fc26_filter|megabot_search
12,Myles Anthony Lewis-Skelly,18,Arsenal,Premier League,"LB, CM",87.0,78.0,76.0,fc26_filter|megabot_search
13,Ethan Chidiebere Nwaneri,18,Arsenal,Premier League,"RW, CM, RM",87.0,76.0,82.0,fantrax_eligible|fc26_filter|nxgn_2026
14,Luka Vušković,18,Hamburger SV,Bundesliga,CB,87.0,72.0,58.0,fc26_filter|megabot_search
15,Finn Jeltsch,18,VfB Stuttgart,Bundesliga,CB,87.0,72.0,69.0,fc26_filter|megabot_search
16,Luka Vušković,18,Hamburger SV,Bundesliga,CB,87.0,72.0,58.0,nxgn_2026
17,Pablo García Fernández,18,Real Betis Balompié,La Liga,"RM, ST, LM, RW",87.0,68.0,75.0,fc26_filter
18,Francesco Camarda,17,Lecce,Serie A,ST,87.0,65.0,67.0,fc26_filter|megabot_search|nxgn_2026
19,Leny Yoro,19,Manchester United,Premier League,CB,86.0,78.0,69.0,megabot_search
20,Ayyoub Bouaddi,17,Lille OSC,Ligue 1,"CM, CDM",86.0,75.0,75.0,fantrax_eligible|fc26_filter|nxgn_2026
