rank,name,dob,age_at_oct1_2026,team,league,position,fc_pot,fc_ovr,speed,sources
1,Jorthy Mokio,2008-02-29,18,Ajax,Eredivisie,"CDM, CM, LB, CB",89.0,70.0,70.0,fc26_filter|nxgn_2026
2,Pau Cubarsí Paredes,2007-01-22,19,FC Barcelona,La Liga,CB,88.0,82.0,70.0,fc26_filter|nxgn_2026
3,Francesco Camarda,2008-03-10,18,Lecce,Serie A,ST,87.0,65.0,67.0,fc26_filter|nxgn_2026
4,Christos Mouzakitis,2006-12-25,19,Olympiacos FC,Super League,"CM, CAM",86.0,71.0,69.0,fc26_filter
5,Lennart Karl,2008-02-22,18,FC Bayern München,Bundesliga,"CAM, RM, CM",86.0,63.0,69.0,fc26_filter|nxgn_2026
6,Marc Bernal Casas,2007-05-26,19,FC Barcelona,La Liga,"CDM, CM",85.0,73.0,61.0,fc26_filter|nxgn_2026
7,Ian Martín Subiabre,2007-01-01,19,River Plate,Liga Profesional de Fútbol,"LW, RW, ST, LM",85.0,69.0,85.0,fc26_filter|nxgn_2026
8,Antonio José Cordero Campillo,2006-11-14,19,KVC Westerlo,Pro League,"LW, RW, LM",85.0,69.0,78.0,fc26_filter
9,Tobías Emanuel Ramírez Cardozo,2006-11-11,19,Argentinos Juniors,Liga Profesional de Fútbol,CB,85.0,69.0,78.0,fc26_filter
10,Kouakou Henry-Joane Aaron Aimerick Gadou,2007-01-17,19,FC Red Bull Salzburg,Bundesliga,CB,85.0,66.0,70.0,fc26_filter
11,Justin Armando Lerma Soliz,2008-05-05,18,Independiente del Valle,Serie A,"LM, CAM, CM, LW",85.0,64.0,78.0,fc26_filter
12,Diego Basilio León Blanco,2007-04-03,19,Manchester United,Premier League,"LB, LM",85.0,64.0,83.0,fc26_filter
13,Veljko Milosavljević,2007-06-28,19,AFC Bournemouth,Premier League,CB,84.0,70.0,53.0,fc26_filter
14,Mattia Liberali,2007-04-07,19,Catanzaro,Serie B,"RW, RM, CAM",84.0,65.0,70.0,fc26_filter
15,Bruno Durdov,2007-12-11,18,Hajduk Split,Hrvatska nogometna liga,"RW, RM",84.0,64.0,73.0,fc26_filter
16,Semm Renders,2007-12-17,18,Royal Antwerp FC,Pro League,"RB, RM",84.0,62.0,73.0,fc26_filter
17,Mohamed Kader Meïté,2007-10-11,18,Stade Rennais FC,Ligue 1,ST,83.0,70.0,65.0,fc26_filter|nxgn_2026
18,João Pedro Arnauth Barrocas Simões,2007-01-06,19,Sporting CP,Primeira Liga,"CM, CAM, CDM",83.0,69.0,71.0,fc26_filter|nxgn_2026
19,Harry John Amass,2007-03-16,19,Sheffield Wednesday,Championship,"LB, LM",83.0,68.0,74.0,fc26_filter
20,Harrison Armstrong,2007-01-19,19,Preston North End,Championship,"CDM, CM",83.0,67.0,65.0,fc26_filter
21,Tylel Tati,2008-01-19,18,FC Nantes,Ligue 1,CB,83.0,67.0,68.0,fc26_filter|nxgn_2026
22,Matias Siltanen,2007-03-29,19,Djurgårdens IF,Allsvenskan,"CDM, CM",83.0,66.0,69.0,fc26_filter
23,Aaron Bouwman,2007-08-28,19,Ajax,Eredivisie,CB,83.0,65.0,64.0,fc26_filter
24,Sean Steur,2008-01-11,18,Ajax,Eredivisie,"CM, CDM",83.0,64.0,72.0,fc26_filter|nxgn_2026
25,Mason Melia,2007-09-22,19,St Patrick's Athletic FC,Premier Division,ST,83.0,64.0,76.0,fc26_filter
26,Antonio Fernández Casino,2008-07-15,18,FC Barcelona,La Liga,"RW, RM",83.0,64.0,74.0,fc26_filter
27,Kiano Dyer,2006-11-21,19,FC Volendam,Eredivisie,"CM, CDM",83.0,63.0,72.0,fc26_filter
28,Nathan De Cat,2008-07-19,18,RSC Anderlecht,Pro League,"CDM, CM",83.0,63.0,61.0,fc26_filter|nxgn_2026
29,Kaye Furo,2007-02-06,19,Club Brugge KV,Pro League,ST,83.0,63.0,72.0,fc26_filter
30,Artem Stepanov,2007-08-10,19,1. FC Nürnberg,2. Bundesliga,ST,83.0,63.0,67.0,fc26_filter
31,Louis Donald Page,2008-07-10,18,Leicester City,Championship,"CM, CDM, CAM",83.0,61.0,74.0,fc26_filter
32,Christian Comotto,2008-04-25,18,Spezia,Serie B,CM,83.0,61.0,63.0,fc26_filter
33,Bailey Rice,2006-10-04,19,Rangers FC,Premiership,"CDM, CM",83.0,61.0,52.0,fc26_filter
34,Francis-Ikechukwu Onyeka,2007-04-29,19,VfL Bochum 1848,2. Bundesliga,"CAM, CM",83.0,60.0,64.0,fc26_filter
35,Mihajlo Cvetkovic,2007-01-10,19,RSC Anderlecht,Pro League,"ST, LW",82.0,67.0,71.0,fc26_filter
36,Bradley Burrowes,2008-03-04,18,Aston Villa,Premier League,"RM, ST, RW",82.0,65.0,86.0,fc26_filter
